0	avoir trové	Sire fait ele porce|que io le uodroie auoir troue	0|1
1	Si li conte tote s aventure issi com vos avés oi dire ça arrieres	Si li conte tote sauenture ainsi con li contes la retraite	2
2	tant qu il conoist bien	Tant que il quenoit bien	3
3	que c est il qu ele quiert a	que cest ele|que il le quiert	4|5
4	Mais por le coros de la mort al seneschal ne se volt fere conoistre	mais por le corrous quil auoit de la mort au seneschal: ne se wet faire quenoistre a li	6
5	ains li respont Certes	si li dit	7
6|7	damoisele|chevalier	Certes damoisele	8
8	qui porte escu blanc ne conois je nul	qui port escu blanc ne sai ie nul	9
9	— En non Dieu		
10	sire		
11|12	fet ele|ce poise moi chierement	En no dieu fait ele de ce me poise il trop durement	10
13	Et il n en tient plus a li parole	et il ne tient plus a li parole	11
14	ains part	Ains sen part	12
15	si tost com il l ot commandee a Dieu a	si tost comme il lot comandee a dieu	13
16	et chevalche en tel maniere jusqu a tierce tant qu il vint a l issue de la forest;	et cheuauche en tel maniere|tant quil uient a lissue de la forest	14|15
17	et il torne a destre vers un chemin viés	et il torne a destre uers lr chemin uiee	16
18	et ancien;	et acien	17
19	si ne demora gueres qu il vint a une eve P lee	Si ne demora gaires quil uient a une eue lee	18
20	et parfonde	et parfonde	19
21	mais il n i trueve pont ne gué ne passage nul	mais il ni trueue ne pont ne gue ne passaige nul	20
22	Et il regarde d autre part de l eve	et lors regarde il dautre part de leue	21
23	si voit I	Si uoit|i	22|23
24	petit chastel molt bien seant	petit chastelet moult bien feant	24
25|26	clos de mur bateillié tot entor a la roonde|ll regarde grant piece le chastel	qui estoit clos de murs batilliez de toutes pars enuiron a la roonde Il esgarde Longuement le chastel	25
27	dont la façons li plest molt a regarder	dont Ia fasons li plait moult a esgarder	26
28	puis s en torne contreval la riviere por savoir s il i peust trover ne pont ne gué	et puis sen torne tot contreual la riuere|Por sauoir se il i troueroit ne pont ne gue	27|28
29	mais il n en trueve point	mais il nen i trurue point :	29
30|31	et quant il voit qu il n i passera|si ne set	si ne sot	30
32	que fere	que faire	31
33|34	que retorner ne voldroit il mie|Atant voit issir del chastel une damoisele	car retorner ne wet il mie atant uoit issir une damoisele dou chastel	32
35	qui ert tote nue en sa chemise	qui estoit tote nue en sa chemisse	33
		si la menoient	34
36	si le menoient troi vilain molt vilainement a	iiii|tre ribaus moult uilment	35|36
37	et tenoit chescuns une hache en sa main;	et tenoit chascuns une hache en sa main	37
38	et ele crioit quanque ele pooit crier por els	et ele crioit quantque le pooit crier|por ciax	38|39
39	qui li faisoient tel honte	qui li fasoient tele honte	40
40	et tel laidure qu il la venoient batant tot contreval la riviere	et tel laidure|que il la menoient batant tout contrtual la riuiere t	41|42
41	Et quant la damoisele vit le chevalier de l autre part de ! l eve	quant la damoisele uoit le cheualier dautre part la riuiere	43
42	si commence a crier Ha	si li comance a crier	44
43|44	gentilz chevaliers|secorés ceste damoisele	ha: gentis cheualiers secores ceste damoisele	45
45	que cist ribaut vuelent ocirre	que ciz ribaut wellent ocire	46
46	Ha		
47	frans hom		
48|49	ne m i laissiés morir|se vos onques eustes pitié de nule gentil damoisele	ha; frans hons ne mi laissiez morir se uos eutes onques pitie de franche damosele	47
50	Quant Boors ot ce qu ele li prie	Quant bohort|oit cele	48|49
51	si pitousement qu'il la secore	que si piteusement lapele|et li prie quil la sekeure	50|51
52	si ne set	Sire set	52
53	que fere	que faire	53
54	kar volentiers li aidast s il peust;	car uolentiers li alait aidier se il poist	54
55	mais il voit l eve noire	Mais il uoit leue	55
56	et parfonde	si parfonde	56
57	et si perilluse qu il cuide bien noier	et si perilleuse|que il cuide bien perir se il se met dedans	57|58
58	s il se met dedens;		
59	et d'autre part il voit cele	et dautre part il uoit cele	59
60	qui si durement crie merci;	qui si docement li prie nc|ci	60|61
61	si l'em prent tels pitiés qu il en laisse totes poors	Si len prent tes pitiez quil en laisse totes paours	62
62	et fet le signe de la crois en mi son vis	Si fait le signe de la crois enmi son uis	63
63	puis enbrace l escu	puis enbrace lescu	64
64	et broche le cheval des esperons	et broche le cheual des esperons	65
65	et se fiert en l eve	et se fiert en leue tot errantment	66
66	Et li chevals fu fors	Et li cheuaus fu fors	67
67	si commence a noer	si comance a noer	68
68	si tost com il ot terre perdue	si tost con il ot ntre perdue	69
69|70	si l enporte d autre part de la rive a quelque paine|mais ançois ot beu de l eve li uns	si lenporte dautͤ part la riue a quelque painne	70
71	et li autre		
72|73	et se li chevals ne fust|si buens	Si ne descendi pas ains cort uers ciax	71
74	noié fuissent ambedui	qui la damoisele renoient	72
75	kar li chevaliers estoit pesans por les armes qu il avoit vestues	que il consieut quil li met le glaiue parmi le cors|si labat mort aterre	73|74
76	Quant il fu de l autre part de l eve	et li autre sen fuient porre q̾l estoient desarme	75
