	fr111-ii-48	lancellotto-ii-48
0	A cest parole voyent yssir ung cheualier du chastel et la	A queste parole vidono uscire un cavaliere del castello, |e là 
1	ou il uoit boors 	ov’egli vide Boordo 
2	si luy crie laissez sire cheualier la damoisele 	si-llo isgrida: «Danzi cavaliere, lasciate la damigella, 
3	que uous nemmennerrez pas. par mon chief mal la rescoussistes. 	ché vonon la menere mica, |e per mio capo male la riscoteste!». 
4	si luy court sus 	Si gli corre suso 
5	tant comme il puet le glayue esloigne. 	quanto ch’elli puote, la lancia islungata, 
6	Et boort le firrt si fort a son uenir 	e Boordo il fiede si duramente in suo venire 
7	que lescu ne le haubert ne le garantist 	che llo scudo né llo asbergo no-llo guerentisce 
8|9	quil ne luy mecte fer |et fust parmy le corps. 	che non gli metta per me' il corpo e ferro e fusto, 
10	Et cil cheit a terre tout estandu 	e que' cade a terra tutto isteso 
11	car plus na mestier de mire. 	che più nonn-à mestier di medico. 
12	Et quant ceulx du chastel uoyent leur cheualier ainsi abatu	E quando que del castello vidono insi lor cavaliere abatuto,
13	si luy en enuoyent incontinant ung autre 	si ve ne rimandarono immantanente uno altro 
14	pour uenger celuy 	per quello vendicare, 
15	qui dist a boort 	che disse a Boordo 
16	quil se gardast de luy 	che ssi guardi da- llui, 
17	quil le deffioit. 	ch’elli il disfida, 
18	et il dist 	ed e' dice 
19|20	quil le desfie aussi. |Lors trait son glayue du corps a celuy 	che disfida lui. PAllora trae la lancia del corpo a colui ch’elli avea morto, 
21	quil auoit occis. 	
22	si luy laisse aller le cheual et le fier	si lascia il cavallo andare |e l fiede
